car_name,car_year,car_price,car_color,car_fuel,car_origin,car_license,car_gear,car_glass,car_motor_power,car_speedometer,car_number_of_passengers,car_driver_system_type,car_payment_method,car_previous_owners,car_sunroof,car_magnesium_rims
بيجو بارتنر,2017,77000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,86000,6+1,,إمكانية التقسيط,اولى,,1
مرسيدس فيتو,1999,33000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,220,290,7+1,,إمكانية التقسيط,2,,1
كيا سيراتو,2020,112000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,صفر,4+1,,نقدا فقط,صفر,,1
هونداي تيراكان,2007,48000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2900,,6+1,,نقدا فقط,٤,,1
مرسيدس C220,2000,30000,ذهبي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2000,000,4+1,,إمكانية التقسيط,000,,
أفيكو 2010,2010,65000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,3000,,,,إمكانية التقسيط,,,
كيا مورننغ,2015,38000,بيج,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,90000,4+1,,نقدا فقط,1,,1
كيا سبورتاج,2012,70000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,120000,4+1,,نقدا فقط,يد ثانيه,,1
بيجو بارتنر,2011,50000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,,نقدا فقط,يد أولى,,1
اودي A4,2000,31000,أبيض,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1800,٢٠٠٠٠٠,,,إمكانية التقسيط,٤,1,1
هونداي اكسنت,2008,38500,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,143000,4+1,,إمكانية التقسيط,7,,1
فيات فرينو,2008,45000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1300,,4+1,,إمكانية التقسيط,,,1
كيا فورتي,2009,45000,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,200000,4+1,,نقدا فقط,ثانية,,1
فولكسفاجن بولو,2011,45000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,150000,4+1,,إمكانية التقسيط,2,,1
بيجو 206,2006,29500,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1004,,4+1,,إمكانية التقسيط,,,1
فولكسفاجن كرافيل,1984,7000,كحلي,ديزل,خصوصي,فلسطينية,عادي,يدوي,1900,,7+1,,نقدا فقط,يد٥,,
فولكسفاجن توران,2010,65000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,160,6+1,,نقدا فقط,ثالثة,1,1
بيجو 308,2012,36000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,,إمكانية التقسيط,,,1
هونداي اكسنت,2013,50000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,٧٢٠٠٠,4+1,,نقدا فقط,,,1
كيا سيراتو,2016,73000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,68,4+1,,نقدا فقط,0,,1
سكودا رابيد,2017,78000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,١٤٠٠٠,4+1,,إمكانية التقسيط,٢,,1
دايو ماتيز,2001,15000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,800,١٢٠٠٠,4+1,,إمكانية التقسيط,,,1
كيا سبورتاج,2014,88000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,١٤٠٠٠٠,4+1,,إمكانية التقسيط,يد  ثانية,,1
فورد فيستا,2015,45000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,10000,4+1,,نقدا فقط,يداولى,,
هونداي اكسنت,2014,50000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,104000,4+1,,نقدا فقط,3,,
فولكسفاجن بولو,2017,62500,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,62,4+1,,نقدا فقط,2,,1
بي ام دبليو 520,1989,35000,فيراني,بنزين,حكومي,فلسطينية,عادي,الكتروني,2000,,4+1,,إمكانية التقسيط,,1,1
بيجو 306,1998,15000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1800,,4+1,,نقدا فقط,٤,,1
هونداي i25,2015,60000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60000,4+1,,إمكانية التقسيط,يد اولى,,1
كيا سيراتو,2006,35000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1450,,4+1,,نقدا فقط,يد ثانيه,,1
كيا مورننغ,2016,6500,أحمر,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,1200,٦٧٧٧٧٣,4+1,,نقدا فقط,يد اولا,,
فولكسفاجن كرافيل,2008,45000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,7+1,,إمكانية التقسيط,١,,1
فولكسفاجن بولو,2012,45000,بني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,79000,4+1,,نقدا فقط,يد ثالثه,,1
هونداي اكسنت,2013,50000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100000,4+1,,إمكانية التقسيط,ثانية,,1
بيجو 301,2016,60000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,43000,4+1,,نقدا فقط,2,,
فولكسفاجن كادي,2016,85000,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,6+1,,إمكانية التقسيط,٢,,1
هونداي اكسنت,2014,54000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,97000,4+1,,نقدا فقط,يد ثانية,,1
فولكسفاجن كادي,2008,55000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,٦٦٧٨٩٠,6+1,,نقدا فقط,٢,,
سكودا فيليسيا,1997,13000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,,,,نقدا فقط,,,
كيا برايد,2015,56000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,40000,4+1,,نقدا فقط,2,,
كيا سورينتو,2013,90000,رمادي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,١٢٠٠٠٠,6+1,,نقدا فقط,تانيه,,1
اوبل كورسا,2013,39000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,135000,4+1,,نقدا فقط,يد ثالثة,,1
سكودا 2006,2006,45000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,300,4+1,,إمكانية التقسيط,4,,1
فولكسفاجن بولو,2000,22000,أبيض,بنزين,حكومي,فلسطينية,عادي,الكتروني,1600,270000,4+1,,إمكانية التقسيط,3,,1
سكودا اوكتافيا,2008,51000,جيشي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,240000,4+1,,نقدا فقط,اولى,,
اوبل استرا,2006,36000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,0000,4+1,,إمكانية التقسيط,1,,1
اوبل كورسا,1999,23000,رمادي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1200,,4+1,,نقدا فقط,2,,1
ميتسوبيشي L200,1999,55000,سكني,ديزل,حكومي,فلسطينية,عادي,الكتروني,2000,000,4+1,,نقدا فقط,3,,1
هونداي H1,2001,13500,رصاصي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,٠,7+1,,نقدا فقط,٣,,
مرسيدس 411,2002,680000,أبيض عاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,2200,٧٥٠٠٠,6+1,,نقدا فقط,٤,,
دايو لانوس,2002,26000,رصاصي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1500,000,4+1,,إمكانية التقسيط,0,,1
فورد فيستا,2015,45000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1240,58000,4+1,,نقدا فقط,,,
ميتسوبيشي باجيرو,2008,120000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3200,150الف,6+1,,إمكانية التقسيط,0,1,1
فولكسفاجن جولف,2011,70000,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,1900,4+1,,إمكانية التقسيط,2,,1
كيا ريو,2010,35000,فضي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1500,,4+1,,إمكانية التقسيط,,,
فولكسفاجن باسات,2018,121000,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,,نقدا فقط,يد اولى,,1
سكودا اوكتافيا,2011,53000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,440000,,,نقدا فقط,يد ثانية,,
فولكسفاجن كادي,2011,72000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,00000,6+1,,إمكانية التقسيط,يد ثانية,,1
اوبل استرا,2005,34000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,215000,4+1,,نقدا فقط,ثانية,,1
فولكسفاجن كرافتر,2009,35000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,35000,اكثر من 10,,نقدا فقط,ثالثة,,
فيات دوبلو,2008,25000,أزرق سماوي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,00””,6+1,,نقدا فقط,1000,,
بيجو بارتنر,2016,70000,رصاصي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,١٠٠٨,4+1,,إمكانية التقسيط,يد اولى,,
فولكسفاجن باسات,1997,15000,أحمر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1800,,4+1,,إمكانية التقسيط,يد ثانيه,,
بيجو بارتنر,2015,65000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,١٩٠,4+1,,إمكانية التقسيط,٠,,1
شفروليه 1997,1997,20000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2150,,4+1,,نقدا فقط,2,,
فولكسفاجن جيتا,2013,80000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,,نقدا فقط,,1,1
كيا بيكانتو,2018,54900,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,59000,4+1,,إمكانية التقسيط,يد أولى,1,1
كيا فورتي,2008,45000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,1660000,,,نقدا فقط,,,1
بي ام دبليو 318,1985,25000,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1800,0000000,4+1,,إمكانية التقسيط,يد ثالثة,,1
كيا سبورتاج,2016,90000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,١٢٠,4+1,,نقدا فقط,2,,1
سيت ابيزا,2018,65000,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1000,60000,3+1,,إمكانية التقسيط,0,,1
فولكسفاجن بولو,2017,58000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,90000,4+1,,نقدا فقط,0,,
سيت ليون,2016,66000,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,,4+1,,إمكانية التقسيط,,,1
داتشيا داستر,2016,70000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,,4+1,,نقدا فقط,يد اولى,,1
فولكسفاجن LT,2004,40000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,249000,,,إمكانية التقسيط,1,,
فورد فيستا,2014,41000,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,46000,4+1,,نقدا فقط,,,
سكودا اوكتافيا,2012,50000,أبيض عاجي,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,1600,490000,4+1,,نقدا فقط,يد 5,,1
سكودا اوكتافيا,2006,40000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,300,4+1,,إمكانية التقسيط,4,,1
فورد فيستا,2016,45000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,73000,4+1,,نقدا فقط,اولى,,1
فولكسفاجن ترانسبورتر,2001,40000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,7+1,,إمكانية التقسيط,,,
سكودا اوكتافيا,2016,80000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,267,4+1,,نقدا فقط,,,1
كيا فورتي,2012,55000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,,إمكانية التقسيط,يد ثانية,1,1
فورد فيستا,2015,43000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1240,58000,4+1,,نقدا فقط,,,
أفيكو ديلي,2011,68000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,3000,28000,2+1,,نقدا فقط,3,,
سكودا كودياك,2018,190000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,6+1,,إمكانية التقسيط,0,1,1
هونداي توسان,2007,45000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,160000,4+1,,نقدا فقط,3,1,1
مرسيدس 411,2002,45000,أبيض,ديزل,تجاري,فلسطينية,نصف اوتوماتيك,الكتروني,2600,,6+1,,نقدا فقط,يد سابعه,,
كيا سورينتو,2016,114000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,89 الف,6+1,,نقدا فقط,2,,1
كيا برايد,2017,62000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,73000,4+1,,إمكانية التقسيط,اولى,,1
كيا سول,2015,65000,بيج,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,57000 فقط,4+1,,نقدا فقط,يد أولى,,
كيا مورننغ,2017,39500,بيج,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,70,4+1,,نقدا فقط,اولى,,
اوبل كورسا,2013,123400,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,0000000,4+1,,إمكانية التقسيط,2,,1
فولكسفاجن باسات,2004,40000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,١٧٠,4+1,,إمكانية التقسيط,٢,1,1
فولكسفاجن جولف,2009,50000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,7500,4+1,,نقدا فقط,6,,1
سكودا نيو,2007,45000,أبيض عاجي,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,,نقدا فقط,,,
فورد فوكس,2016,60000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,١٢٠,4+1,,إمكانية التقسيط,0,,1
سكودا فابيا,2013,45000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,١٢٠٠٠٠,4+1,,نقدا فقط,يد ثانيه,,1
كيا برايد,2007,37000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,130000 كيلومتر,4+1,,نقدا فقط,يد أولى,,1
فولكسفاجن بولو,1997,20000,أبيض,بنزين,حكومي,فلسطينية,عادي,الكتروني,1600,00000,4+1,,نقدا فقط,يد رابعة,,1
سكودا اوكتافيا,2001,33000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,4+1,,إمكانية التقسيط,,,1
اوبل استرا,1999,30000,فضي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,3+1,,نقدا فقط,,,1
ستروين بيرلينجو,2008,45000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,120الف,4+1,,نقدا فقط,ايد ثالثه,,
مرسيدس 518,2008,95000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,3000,0,2+1,,نقدا فقط,0,,1
هونداي اكسنت,2014,63000,رمادي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,0000000,4+1,,نقدا فقط,2,,
سيت قرطبة,2008,29000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,,,نقدا فقط,,,
هونداي ايونيك,2017,92000,فيراني,هايبرد,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٥٨٠٠٠,4+1,,نقدا فقط,يد اولى,1,1
اوبل ١٩٨٣,1983,9000,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,........,4+1,,إمكانية التقسيط,٣,,1
ستروين C1,2018,62000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1000,36000,3+1,,نقدا فقط,صفر,,
سكودا اوكتافيا,2013,70000,أسود ميتالك,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,235000,4+1,,إمكانية التقسيط,,,1
رينو كانجو,2010,42000,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1500,120000,4+1,,إمكانية التقسيط,٣,,
هونداي كليك,2007,28000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,,نقدا فقط,اثنان,1,1
سيت قرطبة,2006,35000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,,نقدا فقط,,,1
ميتسوبيشي لانسر,2011,55000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,80000,4+1,,إمكانية التقسيط,يد اولى,,1
بيجو 406,1999,23000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,18500,4+1,,إمكانية التقسيط,4,1,1
سكودا اوكتافيا,2010,52000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,4+1,,إمكانية التقسيط,ثانيه,,
سيت ابيزا,2017,58000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,67000,4+1,,نقدا فقط,يد اولى,,1
هونداي كليك,2007,34500,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,١٨٠٠٠٠,4+1,,نقدا فقط,٥,,1
كيا بيكانتو,2016,39000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,,4+1,,نقدا فقط,,,1
بيجو 306,2000,22000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,١٨٠٠٠,4+1,,نقدا فقط,يد رابعة,,1
هونداي افانتي,2007,35000,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,220,4+1,,إمكانية التقسيط,2,,1
مرسيدس 200,2013,90000,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,,نقدا فقط,1,1,1
بي ام دبليو 520,1986,13000,زيتي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1800,,,,نقدا فقط,,,
كيا سيراتو,2006,35000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,250,4+1,,نقدا فقط,يد ثانية,,1
مرسيدس E270,2002,52000,أبيض,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2700,٠٠٠٠٠٠٠٠٠٩,5+1,,إمكانية التقسيط,3,1,1
سكودا اوكتافيا,2015,66000,أبيض عاجي,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2000,400000,4+1,,إمكانية التقسيط,2,,1
فولكسفاجن كرافتر,2013,65000,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,3000,3000000,2+1,,إمكانية التقسيط,يد اولى,,
فورد ترانزيت,1987,12000,أبيض,ديزل,عمومي,فلسطينية,عادي,يدوي,1600,,7+1,,نقدا فقط,,,
سكودا اوكتافيا,2013,68000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,18000,4+1,,نقدا فقط,يد أولى,1,1
سوبارو ليجاسي,1991,14000,أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1800,200000,4+1,,نقدا فقط,7,,1
سيت ليون,2017,68000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,70000,4+1,,نقدا فقط,1,,1
فولكسفاجن بولو,2015,49000,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,85000,4+1,,نقدا فقط,,,1
هونداي كليك,2006,32000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,,إمكانية التقسيط,,1,1
رينو R9,1986,7500,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,00000,4+1,,نقدا فقط,0,,1
مرسيدس 220,2017,255000,أزرق سماوي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,,إمكانية التقسيط,,1,1
سيت ليون,2012,46000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,0000,4+1,,نقدا فقط,5,,1
فولكسفاجن جيتا,2016,72000,أزرق,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,108,4+1,,نقدا فقط,5,,1
فولكسفاجن كادي,2009,55000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,,6+1,,نقدا فقط,,,1
فولكسفاجن كادي,2013,75000,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,,إمكانية التقسيط,2,,1
مرسيدس 200,1992,30000,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,,4+1,,نقدا فقط,3,1,1
سيت ابيزا,2012,39000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,140000,4+1,,إمكانية التقسيط,3,1,1
فيات اونو,1989,13000,أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1100,,4+1,,نقدا فقط,,,
سكودا سوبيرب,2017,178000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,,نقدا فقط,,1,1
شاحنة مان,2001,37000,أبيض,ديزل,خصوصي,نمرة صفراء,عادي,الكتروني,3000,40,4+1,,إمكانية التقسيط,0,,
كيا سورينتو,2019,190000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,18000,7+1,,إمكانية التقسيط,يد صفر,1,1
كيا برايد,2014,50000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,50000,4+1,,نقدا فقط,يد ثانيه,,1
فولكسفاجن جيتا,2013,65000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,١٦٣٠٠٠,4+1,,نقدا فقط,٣,,1
سيت قرطبة,2002,16500,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,ش,4+1,,نقدا فقط,٤,,1
كيا سورينتو,2016,115000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,55000km,6+1,,نقدا فقط,يد اولى,,1
هونداي اكسنت,2018,63999,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,1 الف,,,نقدا فقط,1,,1
فولكسفاجن جولف,2016,95000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,50000,,,نقدا فقط,,1,1
فولكسفاجن كرافيل,2014,125000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,148 الف كيلو,9+1,,نقدا فقط,يد اولى,,
سيت ليون,2018,71000,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,٥٠٠٠٠,4+1,,نقدا فقط,صفر,,1
سكودا اوكتافيا,2019,96000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,,,نقدا فقط,,,1
بيجو بارتنر,2013,71000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,874757,6+1,,إمكانية التقسيط,1,,1
كيا اوبتيما,2015,83000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,75000,4+1,,نقدا فقط,يد اولى,,1
بيجو 205,1987,15000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,,إمكانية التقسيط,,,
شفروليه كروز,2010,27000,أزرق سماوي,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1600,,,,نقدا فقط,,,
كيا برايد,2016,61000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,75500,4+1,,نقدا فقط,يد اولى,1,
سوبارو امبريزا,1998,35000,أخضر,بنزين,تدريب سياقة,فلسطينية,عادي,الكتروني,1600,١٢٣٤٠٠٠,,,إمكانية التقسيط,٦,,
هونداي اكسنت,2018,74900,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,50000,4+1,,إمكانية التقسيط,0,,1
سوبارو نملة,1984,10000,سكني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,4+1,,نقدا فقط,9,,1
بيجو بارتنر,2015,62000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,٢٠٠٠٠٠,4+1,,نقدا فقط,يد اولى,1,
اوبل اسكونا,1984,15000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,,,نقدا فقط,,,
هونداي توسان,2013,73000,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,٩٧٠٠٠,4+1,,نقدا فقط,,,1
سكودا اوكتافيا,2016,105000,عدة الوان,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,139000,4+1,,نقدا فقط,,1,1
هونداي افانتي,2005,36000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,7667888,4+1,,نقدا فقط,5,,1
هونداي سانتافيه,2017,115000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,50000,6+1,,إمكانية التقسيط,000,,1
اوبل كورسا,2007,31000,ذهبي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,,نقدا فقط,,,1
فورد فيستا,2013,38000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,,4+1,,نقدا فقط,يد ثانية,,
سيت ليون,2018,75000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,,4+1,,إمكانية التقسيط,0,,1
سكودا سوبيرب,2017,138000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,100000,4+1,,نقدا فقط,0,1,1
هونداي توسان,2008,60000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,,إمكانية التقسيط,,1,1
فولكسفاجن كادي,2016,120000,رمادي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,١١٣٠٠٠,7+1,,نقدا فقط,يد اولى,1,1
هونداي فيرنا,2007,30000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,75000,4+1,,نقدا فقط,يد اولى,,1
كيا برايد,2016,60000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,,,نقدا فقط,,,1
فولكسفاجن جولف,2002,41000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,11111111,4+1,,إمكانية التقسيط,٥,,1
مرسيدس E200,2013,120000,زيتي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,50000,4+1,,نقدا فقط,يد اولى,1,1
